,cause,location,val
0,Respiratory infections and tuberculosis,France,35.41528807272889
2,Respiratory infections and tuberculosis,Iraq,10.133878593020002
3,Respiratory infections and tuberculosis,Burundi,130.88730855960122
4,Respiratory infections and tuberculosis,Guinea,152.3494622132888
6,Respiratory infections and tuberculosis,Armenia,21.137596409248573
10,Respiratory infections and tuberculosis,Grenada,45.984149065538006
12,Respiratory infections and tuberculosis,Jordan,9.35232254826224
14,Respiratory infections and tuberculosis,Sri Lanka,25.288234698793264
15,Respiratory infections and tuberculosis,Afghanistan,61.257491966538744
17,Respiratory infections and tuberculosis,Guatemala,57.70359046169786
19,Respiratory infections and tuberculosis,Argentina,83.18769706442899
21,Respiratory infections and tuberculosis,North Macedonia,10.138378553463706
23,Respiratory infections and tuberculosis,Guyana,42.15221638956143
24,Respiratory infections and tuberculosis,Honduras,17.383814598131767
25,Respiratory infections and tuberculosis,Sudan,21.04967323518747
27,Respiratory infections and tuberculosis,Guinea-Bissau,100.79074956120071
29,Respiratory infections and tuberculosis,Kuwait,15.649434649566484
31,Respiratory infections and tuberculosis,Germany,29.471263848658232
35,Respiratory infections and tuberculosis,Poland,32.322839188964124
36,Respiratory infections and tuberculosis,Tuvalu,49.736508796248295
38,Respiratory infections and tuberculosis,Botswana,101.83331167767555
40,Respiratory infections and tuberculosis,Greece,57.808918011537706
42,Respiratory infections and tuberculosis,Thailand,54.43161181983167
44,Respiratory infections and tuberculosis,Brunei Darussalam,23.02951798676087
47,Respiratory infections and tuberculosis,Iceland,29.539232017732854
49,Respiratory infections and tuberculosis,Comoros,112.6161473091766
50,Respiratory infections and tuberculosis,Tokelau,40.451102396861295
51,Respiratory infections and tuberculosis,Azerbaijan,31.6416396352332
52,Respiratory infections and tuberculosis,Bangladesh,42.60543758013738
53,Respiratory infections and tuberculosis,Djibouti,89.20019882294814
55,Respiratory infections and tuberculosis,Bermuda,27.131087235035782
58,Respiratory infections and tuberculosis,Montenegro,12.020762206178114
61,Respiratory infections and tuberculosis,Japan,92.13246298025173
62,Respiratory infections and tuberculosis,Chile,27.477721604372693
63,Respiratory infections and tuberculosis,Uruguay,47.84048524828171
66,Respiratory infections and tuberculosis,Haiti,63.4112387682916
71,Respiratory infections and tuberculosis,Georgia,26.287477013788198
72,Respiratory infections and tuberculosis,United States Virgin Islands,24.58784119934685
75,Respiratory infections and tuberculosis,American Samoa,22.482449549009086
78,Respiratory infections and tuberculosis,Lesotho,221.7792135608641
79,Respiratory infections and tuberculosis,China,15.614074541213617
81,Respiratory infections and tuberculosis,Timor-Leste,68.35726793764765
84,Respiratory infections and tuberculosis,Bhutan,36.36795216344275
86,Respiratory infections and tuberculosis,Lebanon,18.47416271808788
89,Respiratory infections and tuberculosis,Mauritania,58.59048944376646
91,Respiratory infections and tuberculosis,Kazakhstan,27.011049176047703
92,Respiratory infections and tuberculosis,Eritrea,139.43677315886197
94,Respiratory infections and tuberculosis,Republic of Korea,34.18468247980945
95,Respiratory infections and tuberculosis,Slovakia,34.257685232102325
97,Respiratory infections and tuberculosis,Jamaica,16.828192213155802
100,Respiratory infections and tuberculosis,Guam,21.544450643328535
104,Respiratory infections and tuberculosis,Viet Nam,42.36804690527297
106,Respiratory infections and tuberculosis,Israel,18.97135568460992
108,Respiratory infections and tuberculosis,Libya,13.331381013048285
109,Respiratory infections and tuberculosis,Namibia,98.09205182577772
111,Respiratory infections and tuberculosis,Democratic People's Republic of Korea,39.4185016001
112,Respiratory infections and tuberculosis,Romania,38.11072796146563
114,Respiratory infections and tuberculosis,Cook Islands,54.8472441175084
115,Respiratory infections and tuberculosis,Saint Lucia,33.09001232033507
119,Respiratory infections and tuberculosis,Singapore,60.05677367245621
120,Respiratory infections and tuberculosis,Ireland,34.33290725485295
122,Respiratory infections and tuberculosis,Mexico,20.10895137402652
123,Respiratory infections and tuberculosis,Canada,24.872183865562786
124,Respiratory infections and tuberculosis,South Africa,89.83923947601278
126,Respiratory infections and tuberculosis,Mali,100.21985823635752
127,Respiratory infections and tuberculosis,India,63.222054143034754
129,Respiratory infections and tuberculosis,Ethiopia,75.26284176935378
133,Respiratory infections and tuberculosis,Morocco,29.12597444977861
135,Respiratory infections and tuberculosis,Kyrgyzstan,18.812319344485616
137,Respiratory infections and tuberculosis,Nepal,55.079541310073616
138,Respiratory infections and tuberculosis,Serbia,19.45937719594423
140,Respiratory infections and tuberculosis,Liberia,64.08295302667
142,Respiratory infections and tuberculosis,Italy,20.80605446665935
145,Respiratory infections and tuberculosis,Panama,24.65406202717897
147,Respiratory infections and tuberculosis,Nicaragua,18.202755414814497
148,Respiratory infections and tuberculosis,United States of America,24.60788203502514
149,Respiratory infections and tuberculosis,Taiwan (Province of China),57.93678555846617
150,Respiratory infections and tuberculosis,Fiji,28.177138140289806
152,Respiratory infections and tuberculosis,Greenland,27.13086704109963
154,Respiratory infections and tuberculosis,Mongolia,27.809077426171502
160,Respiratory infections and tuberculosis,Eswatini,121.30644286623108
162,Respiratory infections and tuberculosis,Monaco,68.66273884908892
164,Respiratory infections and tuberculosis,Kiribati,89.43306198184105
166,Respiratory infections and tuberculosis,Palestine,10.61417303534536
168,Respiratory infections and tuberculosis,Madagascar,100.97422563173382
171,Respiratory infections and tuberculosis,Oman,9.677833186533793
173,Respiratory infections and tuberculosis,Saint Vincent and the Grenadines,36.94155289904392
176,Respiratory infections and tuberculosis,Slovenia,33.013185989223736
177,Respiratory infections and tuberculosis,Trinidad and Tobago,20.74603927446498
179,Respiratory infections and tuberculosis,Luxembourg,22.151168549788427
183,Respiratory infections and tuberculosis,Marshall Islands,48.707827031940575
185,Respiratory infections and tuberculosis,Sao Tome and Principe,64.41253217066091
186,Respiratory infections and tuberculosis,New Zealand,20.039861478754545
188,Respiratory infections and tuberculosis,Uzbekistan,41.50676047461904
190,Respiratory infections and tuberculosis,Malawi,96.4326074991934
192,Respiratory infections and tuberculosis,Turkmenistan,35.62908044143953
193,Respiratory infections and tuberculosis,Antigua and Barbuda,33.74248549006555
194,Respiratory infections and tuberculosis,Belarus,15.279717927820284
196,Respiratory infections and tuberculosis,Malta,42.68330126421385
197,Respiratory infections and tuberculosis,Nigeria,107.39876195211694
199,Respiratory infections and tuberculosis,Pakistan,61.43284416866583
202,Respiratory infections and tuberculosis,Lao People's Democratic Republic,79.2021823467107
204,Respiratory infections and tuberculosis,Benin,97.35922276409988
206,Respiratory infections and tuberculosis,Tajikistan,44.36726498580222
207,Respiratory infections and tuberculosis,Indonesia,47.73186614549285
